# RA DEC
2.778979199999999850e+01 -5.691098199999999707e+01
2.782770000000000010e+01 -4.300038899999999842e+01
2.785970599999999919e+01 -5.990588600000000241e+01
2.823418300000000158e+01 -5.305404000000000053e+01
2.859111599999999953e+01 -4.840678499999999929e+01
2.904490300000000147e+01 -5.569800999999999647e+01
2.944939700000000116e+01 -4.012630500000000211e+01
2.948310700000000040e+01 -6.470599599999999896e+01
3.014359100000000069e+01 -4.887569100000000333e+01
3.039529699999999934e+01 -6.085863499999999959e+01
3.057558399999999921e+01 -5.402423799999999687e+01
3.067440900000000070e+01 -4.316478399999999738e+01
3.068704999999999927e+01 -4.462340100000000120e+01
3.083134599999999992e+01 -5.686128899999999931e+01
3.126807200000000009e+01 -4.962453399999999704e+01
3.127943600000000046e+01 -6.454574300000000164e+01
3.144282300000000063e+01 -5.848520899999999756e+01
3.157471500000000120e+01 -4.210996300000000048e+01
3.220693399999999684e+01 -4.442231499999999755e+01
3.282323800000000347e+01 -5.721602899999999892e+01
3.310609300000000133e+01 -4.695019800000000032e+01
3.370167500000000160e+01 -4.664826800000000162e+01
3.406275200000000325e+01 -4.232808299999999946e+01
3.406584800000000257e+01 -4.827652299999999741e+01
3.407229399999999941e+01 -4.851470799999999883e+01
3.411009899999999817e+01 -4.646035400000000237e+01
3.413836599999999777e+01 -5.750947099999999779e+01
3.417433100000000223e+01 -6.415593499999999949e+01
3.426528199999999913e+01 -5.023802100000000337e+01
3.430352899999999750e+01 -5.275601000000000340e+01
3.441382000000000119e+01 -4.318188599999999866e+01
3.455201100000000025e+01 -4.255548100000000034e+01
3.457747400000000226e+01 -4.326060100000000119e+01
3.481018799999999658e+01 -4.957621499999999770e+01
3.511995300000000242e+01 -5.475110600000000005e+01
3.541731800000000163e+01 -4.477917699999999712e+01
3.629513399999999734e+01 -4.345665000000000333e+01
3.647695999999999827e+01 -4.191767600000000016e+01
3.764179399999999731e+01 -6.046889800000000292e+01
3.775076399999999666e+01 -4.446401600000000087e+01
3.777680000000000149e+01 -5.405626900000000035e+01
3.807010900000000220e+01 -4.435412900000000036e+01
3.818761500000000098e+01 -5.295781900000000064e+01
3.825524599999999964e+01 -5.832739200000000324e+01
3.867863599999999735e+01 -5.852141000000000304e+01
3.894684600000000074e+01 -5.135158799999999957e+01
3.924770000000000181e+01 -4.963560999999999979e+01
3.941842700000000121e+01 -4.185631399999999758e+01
3.969942900000000208e+01 -4.907100700000000160e+01
4.016059400000000323e+01 -5.976969400000000121e+01
4.019875799999999799e+01 -5.987859199999999760e+01
4.053465299999999871e+01 -4.183601300000000123e+01
4.054704100000000011e+01 -4.973759700000000095e+01
4.065355300000000227e+01 -6.065261699999999934e+01
4.086154400000000209e+01 -5.951243600000000100e+01
4.091386500000000126e+01 -4.856020399999999881e+01
4.101594699999999705e+01 -4.792739600000000166e+01
4.103098599999999863e+01 -4.896056800000000209e+01
4.240646600000000177e+01 -5.697698299999999705e+01
4.266556899999999786e+01 -4.723854899999999901e+01
4.318810700000000224e+01 -4.841237900000000138e+01
4.346193600000000146e+01 -6.077245800000000031e+01
4.357292600000000249e+01 -5.895258299999999707e+01
4.360068199999999905e+01 -6.086411400000000071e+01
4.405434300000000292e+01 -4.273286800000000341e+01
4.408271200000000078e+01 -4.235889699999999891e+01
4.409967600000000232e+01 -5.629796100000000081e+01
4.424046799999999990e+01 -4.761104900000000129e+01
4.433577799999999769e+01 -6.084501300000000157e+01
4.435059799999999797e+01 -5.754264200000000073e+01
4.439339999999999975e+01 -5.871070300000000231e+01
4.444634800000000041e+01 -4.829695699999999903e+01
4.452271700000000010e+01 -5.392332300000000345e+01
4.490069700000000097e+01 -4.593523600000000329e+01
4.514429899999999662e+01 -6.326374400000000264e+01
4.525085299999999933e+01 -4.886872699999999980e+01
4.547699200000000275e+01 -6.494734599999999602e+01
4.606190000000000140e+01 -4.936118799999999851e+01
4.607016600000000039e+01 -4.403142199999999917e+01
4.615031400000000161e+01 -4.781149500000000074e+01
4.621606799999999993e+01 -5.407501899999999750e+01
4.674499899999999997e+01 -4.781789100000000303e+01
4.683364900000000119e+01 -6.243270600000000314e+01
4.687817100000000181e+01 -4.139033799999999985e+01
4.695161699999999882e+01 -5.070714399999999955e+01
4.726229299999999967e+01 -4.997412200000000126e+01
4.762910999999999717e+01 -4.678341700000000003e+01
4.782893399999999673e+01 -6.390733600000000081e+01
4.826199600000000345e+01 -5.675480400000000003e+01
4.848090200000000038e+01 -5.357808500000000151e+01
4.860957599999999701e+01 -6.151043099999999697e+01
4.869616500000000059e+01 -4.032177800000000190e+01
4.882669899999999785e+01 -4.399740200000000101e+01
4.932159800000000160e+01 -5.958513200000000154e+01
4.945304399999999845e+01 -4.882674800000000204e+01
4.984783099999999934e+01 -5.220266300000000115e+01
4.995237900000000053e+01 -5.429391400000000090e+01
5.003099399999999974e+01 -5.800983800000000201e+01
5.032426499999999692e+01 -4.877433299999999861e+01
5.066039399999999659e+01 -4.359174099999999896e+01
5.091662300000000130e+01 -4.922152200000000022e+01
5.105297800000000308e+01 -6.260214700000000221e+01
5.133913299999999680e+01 -5.154352500000000248e+01
5.171976000000000084e+01 -5.091021099999999677e+01
5.176510900000000248e+01 -4.655999599999999816e+01
5.216746299999999792e+01 -5.569573599999999658e+01
5.225937400000000110e+01 -4.048674799999999863e+01
5.272866700000000151e+01 -5.246977300000000355e+01
5.303402400000000227e+01 -4.101134700000000066e+01
5.316517699999999991e+01 -5.307576900000000109e+01
5.331846300000000127e+01 -5.870253600000000205e+01
5.354640500000000003e+01 -4.699322699999999742e+01
5.368001399999999990e+01 -4.676293600000000339e+01
5.370965100000000092e+01 -4.826382900000000120e+01
5.412136000000000280e+01 -4.706924300000000017e+01
5.415682300000000282e+01 -4.009723499999999774e+01
5.426984000000000208e+01 -4.471049200000000212e+01
5.445732100000000031e+01 -4.947375000000000256e+01
5.446916600000000130e+01 -6.301027799999999957e+01
5.447082300000000288e+01 -6.211753999999999820e+01
5.453102499999999964e+01 -4.022863000000000255e+01
5.469378900000000243e+01 -4.718822300000000070e+01
5.478624700000000303e+01 -3.987338799999999850e+01
5.489079100000000011e+01 -4.575347000000000008e+01
5.528020399999999768e+01 -5.046113700000000080e+01
5.534869400000000184e+01 -6.171931500000000170e+01
5.539806200000000302e+01 -5.752381299999999698e+01
5.552199099999999987e+01 -5.391184599999999705e+01
5.556043799999999777e+01 -4.047853099999999671e+01
5.576171500000000236e+01 -5.530324699999999893e+01
5.609223500000000229e+01 -5.487943800000000039e+01
5.620682800000000157e+01 -5.530179300000000353e+01
5.625100299999999720e+01 -6.433257500000000562e+01
5.657330600000000231e+01 -5.865308000000000277e+01
5.672472199999999987e+01 -5.465053199999999833e+01
5.707373599999999669e+01 -4.525096599999999825e+01
5.772155699999999712e+01 -4.633422600000000102e+01
5.775445700000000215e+01 -4.115659999999999741e+01
5.793239599999999712e+01 -5.661317799999999778e+01
